sample_id,Strain,Salt,A,C,Dispersed
1,wildtype (PS312),NH4Br,11,0,32
2,wildtype (PS312),NH4Br,9,1,40
3,wildtype (PS312),NH4Br,42,7,107
4,wildtype (PS312),NH4Br,33,9,90
5,wildtype (PS312),NH4Br,13,0,95
6,wildtype (PS312),NH4Br,28,11,47
7,wildtype (PS312),NH4Br,25,10,61
8,wildtype (PS312),NH4Br,36,15,43
9,wildtype (PS312),NH4Br,44,13,55
10,wildtype (PS312),NH4Br,18,11,34
11,wildtype (PS312),NH4Br,61,33,23
12,wildtype (PS312),NH4Br,53,13,39
13,wildtype (PS312),NH4Br,31,16,38
14,wildtype (PS312),NH4Br,36,6,36
15,wildtype (PS312),NH4Br,42,19,72
16,wildtype (PS312),NH4Br,42,19,91
17,wildtype (PS312),NH4Br,25,18,53
18,wildtype (PS312),NH4Br,68,29,91
19,wildtype (PS312),NH4Br,35,14,103
20,wildtype (PS312),NH4Br,73,11,99
21,wildtype (PS312),NH4Br,45,18,96
22,wildtype (PS312),NH4Br,37,28,19
23,wildtype (PS312),NH4Br,25,27,19
24,wildtype (PS312),NH4Br,44,25,31
25,wildtype (PS312),NH4Br,29,7,18
26,wildtype (PS312),NH4Br,26,5,10
27,wildtype (PS312),NH4Br,13,9,14
28,wildtype (PS312),NH4Br,24,4,82
29,wildtype (PS312),NH4Br,16,5,79
30,wildtype (PS312),NH4Br,40,9,81
31,wildtype (PS312),NH4Br,62,18,111
32,wildtype (PS312),NH4Br,93,20,129
33,wildtype (PS312),NH4Br,56,20,124
34,wildtype (PS312),NH4Br,23,13,25
35,wildtype (PS312),NH4Br,26,13,46
36,wildtype (PS312),NH4Br,17,13,28
37,wildtype (PS312),NH4Br,20,16,42
38,wildtype (PS312),NH4Br,26,41,43
39,wildtype (PS312),NH4Br,44,49,65
40,wildtype (PS312),NH4Br,12,0,
41,wildtype (PS312),NH4Br,29,5,
42,wildtype (PS312),NH4Br,27,3,
43,wildtype (PS312),NH4Br,13,3,
44,wildtype (PS312),NH4Br,27,5,
45,gcy-22 (csu79),NH4Br,47,0,80
46,gcy-22 (csu79),NH4Br,7,3,87
47,gcy-22 (csu79),NH4Br,15,3,69
48,gcy-22 (csu79),NH4Br,12,1,76
49,gcy-22 (csu79),NH4Br,11,1,57
50,gcy-22 (csu79),NH4Br,15,0,23
51,gcy-22 (csu79),NH4Br,27,3,39
52,gcy-22 (csu79),NH4Br,10,1,38
53,gcy-22 (csu79),NH4Br,14,2,36
54,gcy-22 (csu79),NH4Br,17,1,72
55,gcy-22 (csu79),NH4Br,14,2,35
56,gcy-22 (csu79),NH4Br,10,1,39
57,gcy-22 (csu79),NH4Br,11,1,55
58,gcy-22 (csu79),NH4Br,14,2,54
59,gcy-22 (csu79),NH4Br,12,0,53
60,gcy-22 (csu79),NH4Br,12,1,26
61,gcy-22 (csu80),NH4Br,38,3,90
62,gcy-22 (csu80),NH4Br,89,17,117
63,gcy-22 (csu80),NH4Br,135,21,121
64,gcy-22 (csu80),NH4Br,142,37,147
65,gcy-22 (csu80),NH4Br,90,17,73
66,gcy-22 (csu80),NH4Br,74,19,130
67,gcy-22 (csu80),NH4Br,21,5,80
68,gcy-22 (csu80),NH4Br,18,20,43
69,gcy-22 (csu80),NH4Br,33,12,37
70,gcy-22 (csu80),NH4Br,2,10,37
71,gcy-22 (csu80),NH4Br,20,32,68
72,gcy-22 (csu80),NH4Br,37,44,61
73,gcy-22 (csu80),NH4Br,19,34,94
74,gcy-22 (csu80),NH4Br,27,4,50
75,gcy-22 (csu80),NH4Br,20,1,16
76,gcy-22 (csu80),NH4Br,21,3,25
77,gcy-22 (csu80),NH4Br,29,6,32
78,gcy-22 (csu80),NH4Br,25,1,21
79,gcy-22 (csu80),NH4Br,33,3,13
80,gcy-22 (csu80),NH4Br,38,6,58
81,gcy-22 (csu80),NH4Br,27,17,43
82,gcy-22 (csu80),NH4Br,24,6,34
83,gcy-22 (csu80),NH4Br,30,10,70
84,gcy-22 (csu80),NH4Br,33,8,72
85,gcy-22 (csu80),NH4Br,23,7,35
86,gcy-22 (csu80),NH4Br,26,7,30
87,gcy-22 (csu80),NH4Br,33,11,39
88,gcy-22 (csu80),NH4Br,37,15,30
89,gcy-22 (csu80),NH4Br,52,16,25
90,gcy-22 (csu80),NH4Br,46,18,33
91,gcy-22 (csu80),NH4Br,32,9,35
92,gcy-22 (csu80),NH4Br,32,12,46
93,gcy-22 (csu80),NH4Br,14,10,38
94,gcy-22 (csu80),NH4Br,18,7,32
95,gcy-22 (csu80),NH4Br,16,12,35
96,gcy-22 (csu80),NH4Br,21,9,57
97,gcy-22 (csu80),NH4Br,15,6,42
98,wildtype (PS312),NH4Cl,39,13,65
99,wildtype (PS312),NH4Cl,40,11,37
100,wildtype (PS312),NH4Cl,37,7,62
101,wildtype (PS312),NH4Cl,45,13,23
102,wildtype (PS312),NH4Cl,71,48,131
103,wildtype (PS312),NH4Cl,35,20,50
104,wildtype (PS312),NH4Cl,58,33,97
105,wildtype (PS312),NH4Cl,13,3,62
106,wildtype (PS312),NH4Cl,9,1,63
107,wildtype (PS312),NH4Cl,19,14,71
108,wildtype (PS312),NH4Cl,6,4,32
109,wildtype (PS312),NH4Cl,32,2,58
110,wildtype (PS312),NH4Cl,10,5,42
111,wildtype (PS312),NH4Cl,24,6,47
112,wildtype (PS312),NH4Cl,74,38,162
113,wildtype (PS312),NH4Cl,39,25,102
114,wildtype (PS312),NH4Cl,20,19,102
115,wildtype (PS312),NH4Cl,31,19,90
116,wildtype (PS312),NH4Cl,15,9,53
117,wildtype (PS312),NH4Cl,18,3,
118,wildtype (PS312),NH4Cl,15,3,29
119,wildtype (PS312),NH4Cl,18,5,24
120,wildtype (PS312),NH4Cl,10,9,27
121,wildtype (PS312),NH4Cl,28,14,66
122,wildtype (PS312),NH4Cl,11,6,25
123,wildtype (PS312),NH4Cl,44,23,77
124,wildtype (PS312),NH4Cl,74,18,69
125,wildtype (PS312),NH4Cl,17,11,31
126,wildtype (PS312),NH4Cl,48,17,87
127,wildtype (PS312),NH4Cl,37,26,35
128,wildtype (PS312),NH4Cl,32,18,22
129,wildtype (PS312),NH4Cl,34,23,52
130,wildtype (PS312),NH4Cl,16,11,17
131,wildtype (PS312),NH4Cl,30,14,22
132,wildtype (PS312),NH4Cl,35,12,19
133,gcy-22 (csu79),NH4Cl,22,1,29
134,gcy-22 (csu79),NH4Cl,12,1,27
135,gcy-22 (csu79),NH4Cl,23,2,104
136,gcy-22 (csu79),NH4Cl,33,0,51
137,gcy-22 (csu79),NH4Cl,13,1,75
138,gcy-22 (csu79),NH4Cl,11,1,32
139,gcy-22 (csu79),NH4Cl,43,16,196
140,gcy-22 (csu79),NH4Cl,29,2,127
141,gcy-22 (csu79),NH4Cl,21,0,76
142,gcy-22 (csu79),NH4Cl,21,0,91
143,gcy-22 (csu79),NH4Cl,7,3,13
144,gcy-22 (csu79),NH4Cl,8,4,15
145,gcy-22 (csu79),NH4Cl,6,3,20
