sample_id,Strain,Salt,A,C,Dispersed
1,wildtype (PS312),NH4Br,11,0,32
2,wildtype (PS312),NH4Br,9,1,40
3,wildtype (PS312),NH4Br,42,7,107
4,wildtype (PS312),NH4Br,33,9,90
5,wildtype (PS312),NH4Br,13,0,95
6,wildtype (PS312),NH4Br,28,11,47
7,wildtype (PS312),NH4Br,25,10,61
8,wildtype (PS312),NH4Br,36,15,43
9,wildtype (PS312),NH4Br,44,13,55
10,wildtype (PS312),NH4Br,18,11,34
11,wildtype (PS312),NH4Br,61,33,23
12,wildtype (PS312),NH4Br,53,13,39
13,wildtype (PS312),NH4Br,31,16,38
14,wildtype (PS312),NH4Br,36,6,36
15,wildtype (PS312),NH4Br,42,19,72
16,wildtype (PS312),NH4Br,42,19,91
17,wildtype (PS312),NH4Br,25,18,53
18,wildtype (PS312),NH4Br,68,29,91
19,wildtype (PS312),NH4Br,35,14,103
20,wildtype (PS312),NH4Br,73,11,99
21,wildtype (PS312),NH4Br,45,18,96
22,wildtype (PS312),NH4Br,37,28,19
23,wildtype (PS312),NH4Br,25,27,19
24,wildtype (PS312),NH4Br,44,25,31
25,wildtype (PS312),NH4Br,29,7,18
26,wildtype (PS312),NH4Br,26,5,10
27,wildtype (PS312),NH4Br,13,9,14
28,wildtype (PS312),NH4Br,24,4,82
29,wildtype (PS312),NH4Br,16,5,79
30,wildtype (PS312),NH4Br,40,9,81
31,wildtype (PS312),NH4Br,62,18,111
32,wildtype (PS312),NH4Br,93,20,129
33,wildtype (PS312),NH4Br,56,20,124
34,wildtype (PS312),NH4Br,23,13,25
35,wildtype (PS312),NH4Br,26,13,46
36,wildtype (PS312),NH4Br,17,13,28
37,wildtype (PS312),NH4Br,20,16,42
38,wildtype (PS312),NH4Br,26,41,43
39,wildtype (PS312),NH4Br,44,49,65
40,wildtype (PS312),NH4Br,12,0,
41,wildtype (PS312),NH4Br,29,5,
42,wildtype (PS312),NH4Br,27,3,
43,wildtype (PS312),NH4Br,13,3,
44,wildtype (PS312),NH4Br,27,5,
45,wildtype (PS312),NH4Br,9,5,36
46,wildtype (PS312),NH4Br,31,4,65
47,wildtype (PS312),NH4Br,28,9,52
48,wildtype (PS312),NH4Br,189,81,167
49,wildtype (PS312),NH4Br,157,41,169
50,wildtype (PS312),NH4Br,17,14,48
51,wildtype (PS312),NH4Br,50,28,94
52,wildtype (PS312),NH4Br,9,2,17
53,wildtype (PS312),NH4Br,8,3,15
54,wildtype (PS312),NH4Br,7,3,10
55,wildtype (PS312),NH4Br,7,2,9
56,wildtype (PS312),NH4Br,39,8,78
57,wildtype (PS312),NH4Br,79,8,39
58,wildtype (PS312),NH4Br,37,6,43
59,wildtype (PS312),NH4Br,26,17,81
60,wildtype (PS312),NH4Br,37,16,90
61,wildtype (PS312),NH4Br,26,6,45
62,wildtype (PS312),NH4Br,27,8,66
63,wildtype (PS312),NH4Br,33,12,58
64,wildtype (PS312),NH4Br,12,4,45
65,wildtype (PS312),NH4Br,6,13,30
66,wildtype (PS312),NH4Br,13,7,70
67,wildtype (PS312),NH4Br,42,5,73
68,wildtype (PS312),NH4Br,54,15,98
69,wildtype (PS312),NH4Br,62,13,90
70,wildtype (PS312),NH4Br,46,13,49
71,wildtype (PS312),NH4Br,27,6,63
72,wildtype (PS312),NH4Br,14,5,45
73,wildtype (PS312),NH4Br,14,3,47
74,wildtype (PS312),NH4Br,18,20,68
75,wildtype (PS312),NH4Br,32,11,63
76,wildtype (PS312),NH4Br,30,18,68
77,wildtype (PS312),NH4Br,24,20,60
78,wildtype (PS312),NH4Br,11,5,50
79,wildtype (PS312),NH4Br,68,30,120
80,wildtype (PS312),NH4Br,67,22,109
81,wildtype (PS312),NH4Br,70,15,80
82,wildtype (PS312),NH4Br,19,5,61
83,wildtype (PS312),NH4Br,29,8,52
84,wildtype (PS312),NH4Br,25,9,51
85,gcy-22 (csu79),NH4Br,47,0,80
86,gcy-22 (csu79),NH4Br,7,3,87
87,gcy-22 (csu79),NH4Br,15,3,69
88,gcy-22 (csu79),NH4Br,12,1,76
89,gcy-22 (csu79),NH4Br,11,1,57
90,gcy-22 (csu79),NH4Br,15,0,23
91,gcy-22 (csu79),NH4Br,27,3,39
92,gcy-22 (csu79),NH4Br,10,1,38
93,gcy-22 (csu79),NH4Br,14,2,36
94,gcy-22 (csu79),NH4Br,17,1,72
95,gcy-22 (csu79),NH4Br,14,2,35
96,gcy-22 (csu79),NH4Br,10,1,39
97,gcy-22 (csu79),NH4Br,11,1,55
98,gcy-22 (csu79),NH4Br,14,2,54
99,gcy-22 (csu79),NH4Br,12,0,53
100,gcy-22 (csu79),NH4Br,12,1,26
101,gcy-22 (csu80),NH4Br,38,3,90
102,gcy-22 (csu80),NH4Br,89,17,117
103,gcy-22 (csu80),NH4Br,135,21,121
104,gcy-22 (csu80),NH4Br,142,37,147
105,gcy-22 (csu80),NH4Br,90,17,73
106,gcy-22 (csu80),NH4Br,74,19,130
107,gcy-22 (csu80),NH4Br,21,5,80
108,gcy-22 (csu80),NH4Br,18,20,43
109,gcy-22 (csu80),NH4Br,33,12,37
110,gcy-22 (csu80),NH4Br,2,10,37
111,gcy-22 (csu80),NH4Br,20,32,68
112,gcy-22 (csu80),NH4Br,37,44,61
113,gcy-22 (csu80),NH4Br,19,34,94
114,gcy-22 (csu80),NH4Br,27,4,50
115,gcy-22 (csu80),NH4Br,20,1,16
116,gcy-22 (csu80),NH4Br,21,3,25
117,gcy-22 (csu80),NH4Br,29,6,32
118,gcy-22 (csu80),NH4Br,25,1,21
119,gcy-22 (csu80),NH4Br,33,3,13
120,gcy-22 (csu80),NH4Br,38,6,58
121,gcy-22 (csu80),NH4Br,27,17,43
122,gcy-22 (csu80),NH4Br,24,6,34
123,gcy-22 (csu80),NH4Br,30,10,70
124,gcy-22 (csu80),NH4Br,33,8,72
125,gcy-22 (csu80),NH4Br,23,7,35
126,gcy-22 (csu80),NH4Br,26,7,30
127,gcy-22 (csu80),NH4Br,33,11,39
128,gcy-22 (csu80),NH4Br,37,15,30
129,gcy-22 (csu80),NH4Br,52,16,25
130,gcy-22 (csu80),NH4Br,46,18,33
131,gcy-22 (csu80),NH4Br,32,9,35
132,gcy-22 (csu80),NH4Br,32,12,46
133,gcy-22 (csu80),NH4Br,14,10,38
134,gcy-22 (csu80),NH4Br,18,7,32
135,gcy-22 (csu80),NH4Br,16,12,35
136,gcy-22 (csu80),NH4Br,21,9,57
137,gcy-22 (csu80),NH4Br,15,6,42
138,che-1 (ot5012),NH4Br,10,8,78
139,che-1 (ot5012),NH4Br,21,8,59
140,che-1 (ot5012),NH4Br,22,9,67
141,che-1 (ot5012),NH4Br,6,6,77
142,che-1 (ot5012),NH4Br,58,17,111
143,che-1 (ot5012),NH4Br,71,12,90
144,che-1 (ot5012),NH4Br,34,17,102
145,che-1 (ot5012),NH4Br,41,21,100
146,che-1 (ot5012),NH4Br,88,72,160
147,che-1 (ot5012),NH4Br,83,39,127
148,che-1 (ot5012),NH4Br,147,90,130
