sample_id,Strain,Salt,A,C,Dispersed
1,wildtype (PS312),NH4Cl,30,4,25
2,wildtype (PS312),NH4Cl,31,7,32
3,wildtype (PS312),NH4Cl,17,2,19
4,wildtype (PS312),NH4Cl,28,22,48
5,wildtype (PS312),NH4Cl,65,28,134
6,wildtype (PS312),NH4Cl,77,41,96
7,wildtype (PS312),NH4Cl,59,41,111
8,wildtype (PS312),NH4Cl,74,32,100
9,wildtype (PS312),NH4Cl,80,21,111
10,wildtype (PS312),NH4Cl,33,11,68
11,wildtype (PS312),NH4Cl,40,12,68
12,wildtype (PS312),NH4Cl,35,5,44
13,wildtype (PS312),NH4Cl,56,11,84
14,gpa-3 (mok119),NH4Cl,32,9,54
15,gpa-3 (mok119),NH4Cl,62,17,61
16,gpa-3 (mok119),NH4Cl,54,17,59
17,gpa-3 (mok119),NH4Cl,62,19,97
18,gpa-3 (mok119),NH4Cl,28,4,77
19,gpa-3 (mok119),NH4Cl,38,12,70
20,gpa-3 (mok119),NH4Cl,41,12,91
21,gpa-3 (mok119),NH4Cl,56,1,92
22,gpa-3 (mok119),NH4Cl,53,8,114
23,gpa-3 (mok119),NH4Cl,67,28,82
24,gpa-3 (mok119),NH4Cl,45,14,68
25,gpa-3 (mok119),NH4Cl,56,19,89
26,gpa-3 (mok119),NH4Cl,50,17,77
27,gpa-3 (mok120),NH4Cl,34,5,50
28,gpa-3 (mok120),NH4Cl,13,1,39
29,gpa-3 (mok120),NH4Cl,21,6,50
30,gpa-3 (mok120),NH4Cl,20,0,43
31,gpa-3 (mok120),NH4Cl,45,16,161
32,gpa-3 (mok120),NH4Cl,60,6,108
33,gpa-3 (mok120),NH4Cl,52,4,70
34,gpa-3 (mok120),NH4Cl,56,15,114
35,gpa-3 (mok120),NH4Cl,61,10,98
36,gpa-3 (mok120),NH4Cl,33,8,58
37,gpa-3 (mok120),NH4Cl,35,18,100
38,gpa-3 (mok120),NH4Cl,39,15,101
39,gpa-3 (mok120),NH4Cl,40,2,80
40,wildtype (PS312),NaAc,3,41,91
41,wildtype (PS312),NaAc,1,57,93
42,wildtype (PS312),NaAc,1,23,65
43,wildtype (PS312),NaAc,8,35,105
44,wildtype (PS312),NaAc,33,48,187
45,wildtype (PS312),NaAc,24,36,109
46,wildtype (PS312),NaAc,19,54,185
47,wildtype (PS312),NaAc,17,63,167
48,wildtype (PS312),NaAc,9,49,111
49,wildtype (PS312),NaAc,21,64,151
50,wildtype (PS312),NaAc,12,42,113
51,wildtype (PS312),NaAc,11,77,118
52,gpa-3 (mok119),NaAc,23,58,123
53,gpa-3 (mok119),NaAc,18,56,117
54,gpa-3 (mok119),NaAc,17,82,151
55,gpa-3 (mok119),NaAc,13,68,196
56,gpa-3 (mok119),NaAc,5,23,71
57,gpa-3 (mok119),NaAc,1,14,44
58,gpa-3 (mok119),NaAc,6,22,67
59,gpa-3 (mok119),NaAc,0,13,32
60,gpa-3 (mok119),NaAc,35,105,290
61,gpa-3 (mok119),NaAc,30,82,227
62,gpa-3 (mok119),NaAc,41,77,260
63,gpa-3 (mok119),NaAc,59,86,132
64,gpa-3 (mok120),NaAc,1,15,27
65,gpa-3 (mok120),NaAc,2,9,25
66,gpa-3 (mok120),NaAc,4,28,33
67,gpa-3 (mok120),NaAc,2,5,16
68,gpa-3 (mok120),NaAc,0,18,48
69,gpa-3 (mok120),NaAc,3,20,55
70,gpa-3 (mok120),NaAc,2,13,51
71,gpa-3 (mok120),NaAc,1,32,87
72,gpa-3 (mok120),NaAc,10,51,125
73,gpa-3 (mok120),NaAc,8,46,113
74,gpa-3 (mok120),NaAc,10,53,113
75,gpa-3 (mok120),NaAc,11,40,115
