sample_id,Strain,Salt,A,C,Dispersed
1,N2,NH4Br,16,8,50
2,N2,NH4Br,11,1,45
3,N2,NH4Br,20,5,73
4,N2,NH4Br,27,7,74
5,N2,NH4Br,5,14,22
6,N2,NH4Br,16,15,43
7,N2,NH4Br,10,10,47
8,N2,NH4Br,39,23,57
9,N2,NH4Br,17,1,25
10,N2,NH4Br,14,22,130
11,N2,NH4Br,12,5,112
12,N2,NH4Br,9,3,145
13,N2,NH4Br,33,29,199
14,PS312,NH4Br,33,3,75
15,PS312,NH4Br,34,12,54
16,PS312,NH4Br,21,8,53
17,PS312,NH4Br,20,5,50
18,PS312,NH4Br,35,7,36
19,PS312,NH4Br,25,3,23
20,PS312,NH4Br,21,27,42
21,PS312,NH4Br,67,9,62
22,PS312,NH4Br,55,8,40
23,PS312,NH4Br,23,9,45
24,PS312,NH4Br,11,4,30
25,PS312,NH4Br,52,9,70
26,PS312,NH4Br,22,7,37
27,N2,NH4Cl,26,5,104
28,N2,NH4Cl,18,1,55
29,N2,NH4Cl,9,1,72
30,N2,NH4Cl,33,8,98
31,N2,NH4Cl,35,2,
32,N2,NH4Cl,11,0,79
33,N2,NH4Cl,22,0,12
34,N2,NH4Cl,25,0,70
35,N2,NH4Cl,12,14,
36,PS312,NH4Cl,35,2,
37,PS312,NH4Cl,32,0,
38,PS312,NH4Cl,24,14,87
39,PS312,NH4Cl,62,10,78
40,PS312,NH4Cl,85,6,82
41,PS312,NH4Cl,50,9,61
42,PS312,NH4Cl,38,3,34
43,PS312,NH4Cl,14,1,16
44,PS312,NH4Cl,20,7,33
45,PS312,NH4Cl,25,3,22
46,PS312,NH4Cl,20,4,24
47,PS312,NH4Cl,21,4,15
48,PS312,NH4Cl,19,15,24
49,PS312,NH4Cl,11,3,26
50,PS312,NH4Cl,19,8,29
51,N2,NH4I,16,8,50
52,N2,NH4I,11,1,45
53,N2,NH4I,20,5,73
54,N2,NH4I,27,7,74
55,N2,NH4I,6,2,8
56,N2,NH4I,5,3,58
57,N2,NH4I,8,10,86
58,N2,NH4I,32,149,111
59,N2,NH4I,32,34,91
60,N2,NH4I,34,54,137
61,N2,NH4I,135,84,143
62,N2,NH4I,35,90,90
63,N2,NH4I,16,59,153
64,N2,NH4I,11,50,56
65,N2,NH4I,17,32,88
66,PS312,NH4I,6,3,18
67,PS312,NH4I,5,4,35
68,PS312,NH4I,15,4,33
69,PS312,NH4I,12,3,40
70,PS312,NH4I,19,5,24
71,PS312,NH4I,17,16,35
72,PS312,NH4I,60,8,24
73,PS312,NH4I,33,4,14
74,PS312,NH4I,12,6,15
75,PS312,NH4I,153,40,99
76,PS312,NH4I,101,22,100
77,PS312,NH4I,40,12,81
78,PS312,NH4I,111,16,68
79,PS312,NH4I,64,9,34
80,N2,LiCl,31,6,36
81,N2,LiCl,32,12,38
82,N2,LiCl,35,10,35
83,N2,LiCl,32,49,67
84,N2,LiCl,36,24,39
85,N2,LiCl,47,21,53
86,N2,LiCl,103,16,79
87,N2,LiCl,55,10,108
88,N2,LiCl,57,8,55
89,N2,LiCl,60,24,79
90,N2,LiCl,83,18,84
91,N2,LiCl,95,12,126
92,PS312,LiCl,35,12,40
93,PS312,LiCl,42,19,53
94,PS312,LiCl,29,18,46
95,PS312,LiCl,34,16,55
96,PS312,LiCl,41,19,65
97,PS312,LiCl,24,4,40
98,PS312,LiCl,66,48,115
99,PS312,LiCl,28,12,89
100,PS312,LiCl,50,43,63
101,PS312,LiCl,63,38,140
102,PS312,LiCl,56,29,107
103,PS312,LiCl,55,28,77
104,N2,NaAc,12,3,82
105,N2,NaAc,8,3,61
106,N2,NaAc,22,8,73
107,N2,NaAc,17,5,20
108,N2,NaAc,13,7,54
109,N2,NaAc,13,9,57
110,N2,NaAc,4,6,21
111,N2,NaAc,8,5,14
112,N2,NaAc,16,3,23
113,N2,NaAc,13,1,75
114,N2,NaAc,24,3,106
115,N2,NaAc,10,2,61
116,N2,NaAc,34,0,92
117,N2,NaAc,20,5,118
118,PS312,NaAc,1,16,34
119,PS312,NaAc,0,15,22
120,PS312,NaAc,1,9,25
121,PS312,NaAc,3,29,51
122,PS312,NaAc,2,11,45
123,PS312,NaAc,2,15,66
124,PS312,NaAc,1,20,69
125,PS312,NaAc,0,21,41
126,PS312,NaAc,0,24,50
127,PS312,NaAc,0,43,84
128,PS312,NaAc,0,20,42
129,PS312,NaAc,50,58,130
130,PS312,NaAc,59,61,120
131,PS312,NaAc,25,28,59
132,PS312,NaAc,52,59,120
133,PS312,NaAc,32,35,51
134,N2,NH4Ac,106,53,167
135,N2,NH4Ac,140,24,186
136,N2,NH4Ac,43,41,143
137,N2,NH4Ac,107,25,125
138,N2,NH4Ac,77,19,155
139,N2,NH4Ac,62,16,159
140,N2,NH4Ac,22,10,103
141,N2,NH4Ac,22,13,88
142,N2,NH4Ac,89,9,81
143,N2,NH4Ac,66,6,68
144,N2,NH4Ac,46,17,113
145,N2,NH4Ac,52,24,67
146,PS312,NH4Ac,3,23,80
147,PS312,NH4Ac,5,16,74
148,PS312,NH4Ac,2,17,41
149,PS312,NH4Ac,3,8,33
150,PS312,NH4Ac,14,39,103
151,PS312,NH4Ac,21,76,140
152,PS312,NH4Ac,38,67,137
153,PS312,NH4Ac,40,74,128
154,PS312,NH4Ac,20,40,104
155,PS312,NH4Ac,11,36,118
156,PS312,NH4Ac,13,31,123
157,PS312,NH4Ac,12,47,134
