sample_id,Strain,Salt,A,C,Dispersed
1,wildtype (PS312),NH4Cl,30,4,25
2,wildtype (PS312),NH4Cl,31,7,32
3,wildtype (PS312),NH4Cl,17,2,19
4,wildtype (PS312),NH4Cl,28,22,48
5,wildtype (PS312),NH4Cl,65,28,134
6,wildtype (PS312),NH4Cl,77,41,96
7,wildtype (PS312),NH4Cl,59,41,111
8,wildtype (PS312),NH4Cl,74,32,100
9,wildtype (PS312),NH4Cl,80,21,111
10,wildtype (PS312),NH4Cl,33,11,68
11,wildtype (PS312),NH4Cl,40,12,68
12,wildtype (PS312),NH4Cl,35,5,44
13,wildtype (PS312),NH4Cl,56,11,84
14,odr-3 (csu139),NH4Cl,3,38,49
15,odr-3 (csu139),NH4Cl,5,32,60
16,odr-3 (csu139),NH4Cl,16,47,74
17,odr-3 (csu139),NH4Cl,29,39,88
18,odr-3 (csu139),NH4Cl,15,10,54
19,odr-3 (csu139),NH4Cl,35,76,70
20,odr-3 (csu139),NH4Cl,43,61,71
21,odr-3 (csu139),NH4Cl,44,75,82
22,odr-3 (csu139),NH4Cl,35,57,90
23,odr-3 (csu139),NH4Cl,37,41,61
24,odr-3 (csu139),NH4Cl,15,31,55
25,odr-3 (csu139),NH4Cl,7,15,41
26,odr-3 (csu139),NH4Cl,12,13,31
27,odr-3 (csu144),NH4Cl,30,27,102
28,odr-3 (csu144),NH4Cl,22,17,68
29,odr-3 (csu144),NH4Cl,15,6,38
30,odr-3 (csu144),NH4Cl,10,6,21
31,odr-3 (csu144),NH4Cl,46,13,91
32,odr-3 (csu144),NH4Cl,9,7,16
33,odr-3 (csu144),NH4Cl,11,1,21
34,odr-3 (csu144),NH4Cl,6,4,8
35,odr-3 (csu144),NH4Cl,8,9,38
36,odr-3 (csu144),NH4Cl,20,7,40
37,odr-3 (csu144),NH4Cl,7,16,38
38,odr-3 (csu144),NH4Cl,24,5,39
39,wildtype (PS312),NaAc,3,41,91
40,wildtype (PS312),NaAc,1,57,93
41,wildtype (PS312),NaAc,1,23,65
42,wildtype (PS312),NaAc,8,35,105
43,wildtype (PS312),NaAc,33,48,187
44,wildtype (PS312),NaAc,24,36,109
45,wildtype (PS312),NaAc,19,54,185
46,wildtype (PS312),NaAc,17,63,167
47,wildtype (PS312),NaAc,23,37,134
48,wildtype (PS312),NaAc,8,33,82
49,wildtype (PS312),NaAc,13,42,90
50,wildtype (PS312),NaAc,12,54,93
51,odr-3 (csu139),NaAc,5,20,45
52,odr-3 (csu139),NaAc,8,14,44
53,odr-3 (csu139),NaAc,8,16,38
54,odr-3 (csu139),NaAc,7,24,47
55,odr-3 (csu139),NaAc,20,45,119
56,odr-3 (csu139),NaAc,9,30,71
57,odr-3 (csu139),NaAc,52,39,151
58,odr-3 (csu139),NaAc,48,44,160
59,odr-3 (csu139),NaAc,49,57,131
60,odr-3 (csu139),NaAc,50,78,170
61,odr-3 (csu139),NaAc,30,34,145
62,odr-3 (csu139),NaAc,3,16,101
63,odr-3 (csu144),NaAc,7,97,95
64,odr-3 (csu144),NaAc,5,76,107
65,odr-3 (csu144),NaAc,8,91,125
66,odr-3 (csu144),NaAc,7,78,97
67,odr-3 (csu144),NaAc,36,75,126
68,odr-3 (csu144),NaAc,10,42,61
69,odr-3 (csu144),NaAc,41,53,163
70,odr-3 (csu144),NaAc,40,51,111
71,odr-3 (csu144),NaAc,40,101,124
72,odr-3 (csu144),NaAc,49,120,198
73,odr-3 (csu144),NaAc,53,106,143
74,odr-3 (csu144),NaAc,169,140,178
