"","ï..sample_id","Strain","Salt","A","C","total","Dispersed","CI","participation"
"1",1,"PS312","NH4Br",11,0,11,32,1,0.255813953488372
"2",2,"PS312","NH4Br",9,1,10,40,0.8,0.2
"3",3,"PS312","NH4Br",42,7,49,107,0.714285714285714,0.314102564102564
"4",4,"PS312","NH4Br",33,9,42,90,0.571428571428571,0.318181818181818
"5",5,"PS312","NH4Br",13,0,13,95,1,0.12037037037037
"6",6,"PS312","NH4Br",28,11,39,47,0.435897435897436,0.453488372093023
"7",7,"PS312","NH4Br",25,10,35,61,0.428571428571429,0.364583333333333
"8",8,"PS312","NH4Br",36,15,51,43,0.411764705882353,0.542553191489362
"9",9,"PS312","NH4Br",44,13,57,55,0.543859649122807,0.508928571428571
"10",10,"PS312","NH4Br",18,11,29,34,0.241379310344828,0.46031746031746
"11",11,"PS312","NH4Br",61,33,94,23,0.297872340425532,0.803418803418803
"12",12,"PS312","NH4Br",53,13,66,39,0.606060606060606,0.628571428571429
"13",13,"PS312","NH4Br",31,16,47,38,0.319148936170213,0.552941176470588
"14",14,"PS312","NH4Br",36,6,42,36,0.714285714285714,0.538461538461538
"15",15,"PS312","NH4Br",42,19,61,72,0.377049180327869,0.458646616541353
"16",16,"PS312","NH4Br",42,19,61,91,0.377049180327869,0.401315789473684
"17",17,"PS312","NH4Br",25,18,43,53,0.162790697674419,0.447916666666667
"18",18,"PS312","NH4Br",68,29,97,91,0.402061855670103,0.515957446808511
"19",19,"PS312","NH4Br",35,14,49,103,0.428571428571429,0.322368421052632
"20",20,"PS312","NH4Br",73,11,84,99,0.738095238095238,0.459016393442623
"21",21,"PS312","NH4Br",45,18,63,96,0.428571428571429,0.39622641509434
"22",22,"PS312","NH4Br",37,28,65,19,0.138461538461538,0.773809523809524
"23",23,"PS312","NH4Br",25,27,52,19,-0.0384615384615385,0.732394366197183
"24",24,"PS312","NH4Br",44,25,69,31,0.27536231884058,0.69
"25",25,"PS312","NH4Br",29,7,36,18,0.611111111111111,0.666666666666667
"26",26,"PS312","NH4Br",26,5,31,10,0.67741935483871,0.75609756097561
"27",27,"PS312","NH4Br",13,9,22,14,0.181818181818182,0.611111111111111
"28",28,"PS312","NH4Br",24,4,28,82,0.714285714285714,0.254545454545455
"29",29,"PS312","NH4Br",16,5,21,79,0.523809523809524,0.21
"30",30,"PS312","NH4Br",40,9,49,81,0.63265306122449,0.376923076923077
"31",31,"PS312","NH4Br",62,18,80,111,0.55,0.418848167539267
"32",32,"PS312","NH4Br",93,20,113,129,0.646017699115044,0.466942148760331
"33",33,"PS312","NH4Br",56,20,76,124,0.473684210526316,0.38
"34",34,"PS312","NH4Br",23,13,36,25,0.277777777777778,0.590163934426229
"35",35,"PS312","NH4Br",26,13,39,46,0.333333333333333,0.458823529411765
"36",36,"PS312","NH4Br",17,13,30,28,0.133333333333333,0.517241379310345
"37",37,"PS312","NH4Br",20,16,36,42,0.111111111111111,0.461538461538462
"38",38,"PS312","NH4Br",26,41,67,43,-0.223880597014925,0.609090909090909
"39",39,"PS312","NH4Br",44,49,93,65,-0.0537634408602151,0.588607594936709
"40",40,"PS312","NH4Br",12,0,12,NA,1,NA
"41",41,"PS312","NH4Br",29,5,34,NA,0.705882352941177,NA
"42",42,"PS312","NH4Br",27,3,30,NA,0.8,NA
"43",43,"PS312","NH4Br",13,3,16,NA,0.625,NA
"44",44,"PS312","NH4Br",27,5,32,NA,0.6875,NA
"45",45,"PS312","NH4Br",9,5,14,36,0.285714285714286,0.28
"46",46,"PS312","NH4Br",31,4,35,65,0.771428571428571,0.35
"47",47,"PS312","NH4Br",28,9,37,52,0.513513513513513,0.415730337078652
"48",48,"PS312","NH4Br",189,81,270,167,0.4,0.617848970251716
"49",49,"PS312","NH4Br",157,41,198,169,0.585858585858586,0.539509536784741
"50",50,"PS312","NH4Br",17,14,31,48,0.0967741935483871,0.392405063291139
"51",51,"PS312","NH4Br",50,28,78,94,0.282051282051282,0.453488372093023
"52",52,"PS312","NH4Br",9,2,11,17,0.636363636363636,0.392857142857143
"53",53,"PS312","NH4Br",8,3,11,15,0.454545454545455,0.423076923076923
"54",54,"PS312","NH4Br",7,3,10,10,0.4,0.5
"55",55,"PS312","NH4Br",7,2,9,9,0.555555555555556,0.5
"56",56,"PS312","NH4Br",39,8,47,78,0.659574468085106,0.376
"57",57,"PS312","NH4Br",79,8,87,39,0.816091954022989,0.69047619047619
"58",58,"PS312","NH4Br",37,6,43,43,0.720930232558139,0.5
"59",59,"PS312","NH4Br",26,17,43,81,0.209302325581395,0.346774193548387
"60",60,"PS312","NH4Br",37,16,53,90,0.39622641509434,0.370629370629371
"61",61,"PS312","NH4Br",26,6,32,45,0.625,0.415584415584416
"62",62,"PS312","NH4Br",27,8,35,66,0.542857142857143,0.346534653465347
"63",63,"PS312","NH4Br",33,12,45,58,0.466666666666667,0.436893203883495
"64",64,"PS312","NH4Br",12,4,16,45,0.5,0.262295081967213
"65",65,"PS312","NH4Br",6,13,19,30,-0.368421052631579,0.387755102040816
"66",66,"PS312","NH4Br",13,7,20,70,0.3,0.222222222222222
"67",67,"PS312","NH4Br",42,5,47,73,0.787234042553192,0.391666666666667
"68",68,"PS312","NH4Br",54,15,69,98,0.565217391304348,0.413173652694611
"69",69,"PS312","NH4Br",62,13,75,90,0.653333333333333,0.454545454545455
"70",70,"PS312","NH4Br",46,13,59,49,0.559322033898305,0.546296296296296
"71",71,"PS312","NH4Br",27,6,33,63,0.636363636363636,0.34375
"72",72,"PS312","NH4Br",14,5,19,45,0.473684210526316,0.296875
"73",73,"PS312","NH4Br",14,3,17,47,0.647058823529412,0.265625
"74",74,"PS312","NH4Br",18,20,38,68,-0.0526315789473684,0.358490566037736
"75",75,"PS312","NH4Br",32,11,43,63,0.488372093023256,0.405660377358491
"76",76,"PS312","NH4Br",30,18,48,68,0.25,0.413793103448276
"77",77,"PS312","NH4Br",24,20,44,60,0.0909090909090909,0.423076923076923
"78",78,"PS312","NH4Br",11,5,16,50,0.375,0.242424242424242
"79",79,"PS312","NH4Br",68,30,98,120,0.387755102040816,0.44954128440367
"80",80,"PS312","NH4Br",67,22,89,109,0.50561797752809,0.44949494949495
"81",81,"PS312","NH4Br",70,15,85,80,0.647058823529412,0.515151515151515
"82",82,"PS312","NH4Br",19,5,24,61,0.583333333333333,0.282352941176471
"83",83,"PS312","NH4Br",29,8,37,52,0.567567567567568,0.415730337078652
"84",84,"PS312","NH4Br",25,9,34,51,0.470588235294118,0.4
"85",85,"csu79","NH4Br",47,0,47,80,1,0.37007874015748
"86",86,"csu79","NH4Br",7,3,10,87,0.4,0.103092783505155
"87",87,"csu79","NH4Br",15,3,18,69,0.666666666666667,0.206896551724138
"88",88,"csu79","NH4Br",12,1,13,76,0.846153846153846,0.146067415730337
"89",89,"csu79","NH4Br",11,1,12,57,0.833333333333333,0.173913043478261
"90",90,"csu79","NH4Br",15,0,15,23,1,0.394736842105263
"91",91,"csu79","NH4Br",27,3,30,39,0.8,0.434782608695652
"92",92,"csu79","NH4Br",10,1,11,38,0.818181818181818,0.224489795918367
"93",93,"csu79","NH4Br",14,2,16,36,0.75,0.307692307692308
"94",94,"csu79","NH4Br",17,1,18,72,0.888888888888889,0.2
"95",95,"csu79","NH4Br",14,2,16,35,0.75,0.313725490196078
"96",96,"csu79","NH4Br",10,1,11,39,0.818181818181818,0.22
"97",97,"csu79","NH4Br",11,1,12,55,0.833333333333333,0.17910447761194
"98",98,"csu79","NH4Br",14,2,16,54,0.75,0.228571428571429
"99",99,"csu79","NH4Br",12,0,12,53,1,0.184615384615385
"100",100,"csu79","NH4Br",12,1,13,26,0.846153846153846,0.333333333333333
"101",101,"csu80","NH4Br",38,3,41,90,0.853658536585366,0.312977099236641
"102",102,"csu80","NH4Br",89,17,106,117,0.679245283018868,0.475336322869955
"103",103,"csu80","NH4Br",135,21,156,121,0.730769230769231,0.563176895306859
"104",104,"csu80","NH4Br",142,37,179,147,0.58659217877095,0.549079754601227
"105",105,"csu80","NH4Br",90,17,107,73,0.682242990654206,0.594444444444444
"106",106,"csu80","NH4Br",74,19,93,130,0.591397849462366,0.417040358744395
"107",107,"csu80","NH4Br",21,5,26,80,0.615384615384615,0.245283018867925
"108",108,"csu80","NH4Br",18,20,38,43,-0.0526315789473684,0.469135802469136
"109",109,"csu80","NH4Br",33,12,45,37,0.466666666666667,0.548780487804878
