"","ï..sample_id","Strain","Salt","A","C","total","Dispersed","CI","participation"
"1",1,"PS312","NH4Br",11,0,11,32,1,0.255813953488372
"2",2,"PS312","NH4Br",9,1,10,40,0.8,0.2
"3",3,"PS312","NH4Br",42,7,49,107,0.714285714285714,0.314102564102564
"4",4,"PS312","NH4Br",33,9,42,90,0.571428571428571,0.318181818181818
"5",5,"PS312","NH4Br",13,0,13,95,1,0.12037037037037
"6",6,"PS312","NH4Br",28,11,39,47,0.435897435897436,0.453488372093023
"7",7,"PS312","NH4Br",25,10,35,61,0.428571428571429,0.364583333333333
"8",8,"PS312","NH4Br",36,15,51,43,0.411764705882353,0.542553191489362
"9",9,"PS312","NH4Br",44,13,57,55,0.543859649122807,0.508928571428571
"10",10,"PS312","NH4Br",18,11,29,34,0.241379310344828,0.46031746031746
"11",11,"PS312","NH4Br",61,33,94,23,0.297872340425532,0.803418803418803
"12",12,"PS312","NH4Br",53,13,66,39,0.606060606060606,0.628571428571429
"13",13,"PS312","NH4Br",31,16,47,38,0.319148936170213,0.552941176470588
"14",14,"PS312","NH4Br",36,6,42,36,0.714285714285714,0.538461538461538
"15",15,"PS312","NH4Br",42,19,61,72,0.377049180327869,0.458646616541353
"16",16,"PS312","NH4Br",42,19,61,91,0.377049180327869,0.401315789473684
"17",17,"PS312","NH4Br",25,18,43,53,0.162790697674419,0.447916666666667
"18",18,"PS312","NH4Br",68,29,97,91,0.402061855670103,0.515957446808511
"19",19,"PS312","NH4Br",35,14,49,103,0.428571428571429,0.322368421052632
"20",20,"PS312","NH4Br",73,11,84,99,0.738095238095238,0.459016393442623
"21",21,"PS312","NH4Br",45,18,63,96,0.428571428571429,0.39622641509434
"22",22,"PS312","NH4Br",37,28,65,19,0.138461538461538,0.773809523809524
"23",23,"PS312","NH4Br",25,27,52,19,-0.0384615384615385,0.732394366197183
"24",24,"PS312","NH4Br",44,25,69,31,0.27536231884058,0.69
"25",25,"PS312","NH4Br",29,7,36,18,0.611111111111111,0.666666666666667
"26",26,"PS312","NH4Br",26,5,31,10,0.67741935483871,0.75609756097561
"27",27,"PS312","NH4Br",13,9,22,14,0.181818181818182,0.611111111111111
"28",28,"PS312","NH4Br",24,4,28,82,0.714285714285714,0.254545454545455
"29",29,"PS312","NH4Br",16,5,21,79,0.523809523809524,0.21
"30",30,"PS312","NH4Br",40,9,49,81,0.63265306122449,0.376923076923077
"31",31,"PS312","NH4Br",62,18,80,111,0.55,0.418848167539267
"32",32,"PS312","NH4Br",93,20,113,129,0.646017699115044,0.466942148760331
"33",33,"PS312","NH4Br",56,20,76,124,0.473684210526316,0.38
"34",34,"PS312","NH4Br",23,13,36,25,0.277777777777778,0.590163934426229
"35",35,"PS312","NH4Br",26,13,39,46,0.333333333333333,0.458823529411765
"36",36,"PS312","NH4Br",17,13,30,28,0.133333333333333,0.517241379310345
"37",37,"PS312","NH4Br",20,16,36,42,0.111111111111111,0.461538461538462
"38",38,"PS312","NH4Br",26,41,67,43,-0.223880597014925,0.609090909090909
"39",39,"PS312","NH4Br",44,49,93,65,-0.0537634408602151,0.588607594936709
"40",40,"PS312","NH4Br",12,0,12,NA,1,NA
"41",41,"PS312","NH4Br",29,5,34,NA,0.705882352941177,NA
"42",42,"PS312","NH4Br",27,3,30,NA,0.8,NA
"43",43,"PS312","NH4Br",13,3,16,NA,0.625,NA
"44",44,"PS312","NH4Br",27,5,32,NA,0.6875,NA
"45",45,"csu79","NH4Br",47,0,47,80,1,0.37007874015748
"46",46,"csu79","NH4Br",7,3,10,87,0.4,0.103092783505155
"47",47,"csu79","NH4Br",15,3,18,69,0.666666666666667,0.206896551724138
"48",48,"csu79","NH4Br",12,1,13,76,0.846153846153846,0.146067415730337
"49",49,"csu79","NH4Br",11,1,12,57,0.833333333333333,0.173913043478261
"50",50,"csu79","NH4Br",15,0,15,23,1,0.394736842105263
"51",51,"csu79","NH4Br",27,3,30,39,0.8,0.434782608695652
"52",52,"csu79","NH4Br",10,1,11,38,0.818181818181818,0.224489795918367
"53",53,"csu79","NH4Br",14,2,16,36,0.75,0.307692307692308
"54",54,"csu79","NH4Br",17,1,18,72,0.888888888888889,0.2
"55",55,"csu79","NH4Br",14,2,16,35,0.75,0.313725490196078
"56",56,"csu79","NH4Br",10,1,11,39,0.818181818181818,0.22
"57",57,"csu79","NH4Br",11,1,12,55,0.833333333333333,0.17910447761194
"58",58,"csu79","NH4Br",14,2,16,54,0.75,0.228571428571429
"59",59,"csu79","NH4Br",12,0,12,53,1,0.184615384615385
"60",60,"csu79","NH4Br",12,1,13,26,0.846153846153846,0.333333333333333
"61",61,"csu80","NH4Br",38,3,41,90,0.853658536585366,0.312977099236641
"62",62,"csu80","NH4Br",89,17,106,117,0.679245283018868,0.475336322869955
"63",63,"csu80","NH4Br",135,21,156,121,0.730769230769231,0.563176895306859
"64",64,"csu80","NH4Br",142,37,179,147,0.58659217877095,0.549079754601227
"65",65,"csu80","NH4Br",90,17,107,73,0.682242990654206,0.594444444444444
"66",66,"csu80","NH4Br",74,19,93,130,0.591397849462366,0.417040358744395
"67",67,"csu80","NH4Br",21,5,26,80,0.615384615384615,0.245283018867925
"68",68,"csu80","NH4Br",18,20,38,43,-0.0526315789473684,0.469135802469136
"69",69,"csu80","NH4Br",33,12,45,37,0.466666666666667,0.548780487804878
"70",70,"csu80","NH4Br",2,10,12,37,-0.666666666666667,0.244897959183673
"71",71,"csu80","NH4Br",20,32,52,68,-0.230769230769231,0.433333333333333
"72",72,"csu80","NH4Br",37,44,81,61,-0.0864197530864197,0.570422535211268
"73",73,"csu80","NH4Br",19,34,53,94,-0.283018867924528,0.360544217687075
"74",74,"csu80","NH4Br",27,4,31,50,0.741935483870968,0.382716049382716
"75",75,"csu80","NH4Br",20,1,21,16,0.904761904761905,0.567567567567568
"76",76,"csu80","NH4Br",21,3,24,25,0.75,0.489795918367347
"77",77,"csu80","NH4Br",29,6,35,32,0.657142857142857,0.522388059701492
"78",78,"csu80","NH4Br",25,1,26,21,0.923076923076923,0.553191489361702
"79",79,"csu80","NH4Br",33,3,36,13,0.833333333333333,0.73469387755102
"80",80,"csu80","NH4Br",38,6,44,58,0.727272727272727,0.431372549019608
"81",81,"csu80","NH4Br",27,17,44,43,0.227272727272727,0.505747126436782
"82",82,"csu80","NH4Br",24,6,30,34,0.6,0.46875
"83",83,"csu80","NH4Br",30,10,40,70,0.5,0.363636363636364
"84",84,"csu80","NH4Br",33,8,41,72,0.609756097560976,0.36283185840708
"85",85,"csu80","NH4Br",23,7,30,35,0.533333333333333,0.461538461538462
"86",86,"csu80","NH4Br",26,7,33,30,0.575757575757576,0.523809523809524
"87",87,"csu80","NH4Br",33,11,44,39,0.5,0.530120481927711
"88",88,"csu80","NH4Br",37,15,52,30,0.423076923076923,0.634146341463415
"89",89,"csu80","NH4Br",52,16,68,25,0.529411764705882,0.731182795698925
"90",90,"csu80","NH4Br",46,18,64,33,0.4375,0.65979381443299
"91",91,"csu80","NH4Br",32,9,41,35,0.560975609756098,0.539473684210526
"92",92,"csu80","NH4Br",32,12,44,46,0.454545454545455,0.488888888888889
"93",93,"csu80","NH4Br",14,10,24,38,0.166666666666667,0.387096774193548
"94",94,"csu80","NH4Br",18,7,25,32,0.44,0.43859649122807
"95",95,"csu80","NH4Br",16,12,28,35,0.142857142857143,0.444444444444444
"96",96,"csu80","NH4Br",21,9,30,57,0.4,0.344827586206897
"97",97,"csu80","NH4Br",15,6,21,42,0.428571428571429,0.333333333333333
"98",98,"PS312","NH4Cl",39,13,52,65,0.5,0.444444444444444
"99",99,"PS312","NH4Cl",40,11,51,37,0.568627450980392,0.579545454545455
"100",100,"PS312","NH4Cl",37,7,44,62,0.681818181818182,0.415094339622642
"101",101,"PS312","NH4Cl",45,13,58,23,0.551724137931034,0.716049382716049
"102",102,"PS312","NH4Cl",71,48,119,131,0.19327731092437,0.476
"103",103,"PS312","NH4Cl",35,20,55,50,0.272727272727273,0.523809523809524
"104",104,"PS312","NH4Cl",58,33,91,97,0.274725274725275,0.484042553191489
"105",105,"PS312","NH4Cl",13,3,16,62,0.625,0.205128205128205
"106",106,"PS312","NH4Cl",9,1,10,63,0.8,0.136986301369863
"107",107,"PS312","NH4Cl",19,14,33,71,0.151515151515152,0.317307692307692
"108",108,"PS312","NH4Cl",6,4,10,32,0.2,0.238095238095238
"109",109,"PS312","NH4Cl",32,2,34,58,0.882352941176471,0.369565217391304
